3926
3 105 381 436
3 289 467 79
3 406 58 349
3 264 41 183
3 157 6 271
3 237 358 91
3 317 93 110
3 461 36 372
3 197 226 25
3 232 325 239
3 92 45 163
3 336 340 332
3 464 210 349
3 194 51 116
3 494 266 220
3 69 13 133
3 496 414 136
3 6 36 23
3 242 355 327
3 289 469 345
3 136 200 19
3 97 408 130
3 77 321 16
2 214 138
3 161 227 378
4 417 474 108 201
4 314 113 43 371
4 424 449 150 111
4 212 178 268 283
4 112 167 177 304
4 293 239 281 264
4 63 144 130 198
4 40 19 439 112
4 7 407 348 296
4 397 452 165 457
4 345 352 69 358
4 232 248 97 227
4 102 88 448 265
4 241 465 86 276
4 433 339 315 389
4 24 78 266 108
4 221 236 43 141
4 305 349 367 400
4 355 432 467 451
4 36 123 152 110
4 183 354 457 312
4 438 44 133 260
4 127 287 184 199
4 445 392 301 226
4 385 312 211 415
4 456 407 145 326
4 13 289 290 200
4 315 101 347 149
4 444 465 377 27
4 167 72 243 169
4 117 214 128 411
4 391 339 125 166
4 414 249 288 488
4 240 227 86 465
4 27 290 264 6
4 405 323 111 480
4 458 436 245 18
4 235 459 404 476
4 118 288 196 78
4 15 465 473 176
4 114 265 497 168
4 347 51 181 372
4 60 187 57 407
4 387 233 288 479
4 419 67 186 477
4 71 270 28 38
4 283 273 76 88
4 496 82 265 316
4 9 268 481 304
4 368 138 257 400
4 277 306 265 60
4 389 6 72 124
4 385 393 316 182
4 38 282 194 438
4 344 312 382 161
4 185 35 205 55
4 375 1 96 214
4 350 425 6 479
4 266 194 499 74
4 425 151 243 355
4 430 99 205 279
4 308 113 111 297
4 460 388 450 243
4 305 218 139 493
4 89 439 362 224
4 435 140 346 469
4 123 199 394 428
4 49 441 105 281
4 369 247 379 268
4 370 276 202 13
4 219 193 351 274
4 9 49 8 84
4 476 297 14 356
4 454 453 418 315
4 196 38 295 25
4 35 498 69 32
4 281 157 68 398
4 86 168 383 392
4 114 348 325 260
4 377 82 5 477
4 44 213 425 126
4 211 204 260 345
4 84 362 174 411
4 288 216 91 175
4 484 298 216 252
4 303 55 424 324
4 167 45 197 455
4 278 492 186 105
4 408 72 47 203
4 239 413 199 352
4 182 370 337 302
4 244 332 274 224
4 32 251 304 234
4 490 498 342 286
4 403 50 360 414
4 482 101 322 319
4 105 476 224 166
4 368 433 145 130
4 261 113 378 334
4 405 153 388 25
4 68 168 474 141
4 70 478 38 42
4 279 287 90 138
4 63 467 471 103
4 461 496 384 482
4 399 456 42 198
3 36 66 8
4 301 260 65 278
4 469 116 395 20
4 42 156 84 232
4 449 261 333 82
4 376 351 264 216
4 382 425 299 270
4 468 298 326 54
4 308 201 197 159
4 175 181 252 474
4 121 464 436 71
4 170 202 234 94
4 171 465 331 167
4 327 288 114 37
4 16 181 209 338
4 456 365 398 475
4 261 417 67 12
4 497 102 408 358
4 46 232 306 195
4 173 288 412 120
4 347 327 253 170
4 215 93 167 79
4 352 461 13 164
4 285 495 28 216
4 420 424 312 331
4 36 469 370 419
4 353 9 77 171
4 3 353 282 249
4 269 496 484 7
4 41 188 40 61
4 228 431 70 413
4 108 258 142 488
4 109 127 65 169
4 450 26 171 257
4 454 96 95 439
4 382 298 8 238
4 236 153 268 500
4 297 456 338 483
4 361 254 70 100
4 75 238 382 147
4 423 42 313 100
4 402 410 260 68
4 351 2 227 471
4 396 416 432 469
4 466 457 172 10
4 124 369 461 463
3 364 244 281
4 473 288 200 412
4 322 325 296 136
4 422 312 415 357
4 375 480 389 74
4 131 269 78 406
4 227 440 301 315
4 156 87 69 144
4 345 184 220 381
4 109 288 386 142
4 276 327 132 321
4 389 183 144 165
4 87 116 395 437
4 289 477 461 60
4 398 338 125 96
4 47 362 88 152
4 421 230 349 161
4 16 471 324 4
4 345 6 175 211
4 335 267 26 10
4 326 153 51 234
4 19 11 85 262
4 124 286 158 260
4 9 148 192 447
4 217 224 77 419
4 500 201 242 223
4 397 57 286 160
4 243 226 112 26
4 177 446 411 308
4 360 215 443 355
4 119 146 321 151
4 6 396 234 481
4 143 355 38 178
4 428 367 215 123
4 380 324 31 453
4 283 459 185 2
4 294 356 231 46
4 167 451 363 262
4 32 472 321 1
4 185 486 408 414
4 21 379 76 320
4 14 323 45 310
4 297 31 162 29
4 283 180 191 288
4 382 256 365 250
4 274 130 31 441
4 392 66 42 400
4 426 286 34 71
4 282 453 34 266
4 163 129 276 405
4 126 125 124 410
4 210 151 282 113
4 306 147 438 396
4 451 301 286 253
4 180 195 91 390
4 163 446 199 442
4 141 60 158 419
4 223 66 394 15
4 204 440 348 17
3 294 295 196
4 490 444 117 488
4 201 238 220 5
4 32 344 254 475
4 386 404 284 51
4 348 35 107 493
4 419 455 375 368
4 139 331 91 41
4 300 241 268 255
4 306 344 489 278
4 259 16 272 397
4 232 496 87 3
4 225 467 89 300
4 208 51 488 260
4 61 412 331 467
4 217 354 85 439
4 62 125 464 204
4 123 128 2 251
4 224 161 164 460
4 339 331 265 288
4 293 378 290 222
4 247 494 20 463
4 267 29 229 367
4 81 58 433 69
4 183 147 125 305
4 322 404 436 275
4 266 110 275 388
4 216 141 266 320
4 226 119 178 30
4 284 190 300 110
4 469 384 403 428
4 216 119 144 385
4 139 432 47 185
4 90 170 229 56
4 168 210 182 423
4 370 423 419 304
4 290 120 393 149
4 433 62 25 346
4 406 191 175 137
4 213 168 268 178
4 310 127 304 123
4 465 409 59 157
4 470 459 3 447
4 45 189 178 28
4 353 312 16 113
4 345 469 128 10
4 347 42 327 447
4 500 427 21 423
4 462 217 383 447
4 222 334 210 292
4 349 241 112 322
4 497 220 414 432
4 245 67 465 219
4 34 337 358 370
4 212 29 395 91
4 381 31 467 3
4 466 457 452 330
4 138 290 382 5
4 394 283 301 253
4 66 70 100 467
4 200 306 389 79
4 312 446 272 128
4 53 54 238 226
4 42 376 389 150
4 399 264 307 102
4 378 202 270 338
4 53 208 367 191
4 376 100 161 478
4 475 74 366 412
4 21 380 394 107
4 254 12 208 31
4 20 303 469 111
4 60 106 404 360
4 127 42 214 84
4 424 316 281 258
4 386 383 252 199
4 61 393 120 364
4 150 176 429 323
4 26 242 444 201
4 358 64 449 410
4 420 450 392 490
4 489 348 135 494
4 172 445 442 481
4 371 426 73 153
4 468 87 485 170
4 96 29 426 310
4 381 390 185 473
4 387 174 486 57
4 367 115 228 3
4 98 493 314 323
4 144 448 271 101
4 311 470 405 444
4 437 351 305 260
4 192 260 486 234
4 183 201 355 122
4 73 125 154 488
4 41 384 158 32
4 108 233 13 140
4 432 123 197 228
4 72 198 295 265
4 152 83 64 20
4 234 453 242 411
4 126 120 137 167
4 278 43 110 263
4 130 140 473 453
4 426 416 388 279
4 324 352 482 343
4 96 71 487 438
4 280 177 217 328
4 186 450 44 77
4 456 347 193 1
4 134 354 381 234
4 296 498 191 203
4 317 305 315 382
4 294 484 60 95
4 88 181 464 153
4 126 467 484 25
4 308 201 343 464
4 390 343 320 375
4 441 335 178 219
4 106 130 139 355
4 248 394 107 379
4 347 441 48 483
4 369 57 77 262
4 57 487 496 297
4 78 355 241 357
4 230 445 171 77
4 483 369 38 456
4 305 430 476 124
4 47 388 168 389
4 156 450 437 497
4 329 292 13 77
4 60 100 139 454
4 143 182 104 460
4 439 311 306 430
4 17 438 161 476
4 162 201 269 460
4 4 391 297 7
4 479 261 293 86
4 301 286 159 382
4 40 250 397 358
4 208 285 89 479
4 52 50 141 315
3 437 388 467
4 147 215 341 459
4 220 319 292 469
4 42 466 104 377
4 425 73 101 206
4 370 51 416 385
4 307 187 50 179
4 16 157 298 408
4 499 463 267 471
4 492 177 441 294
4 247 168 90 407
4 318 39 110 414
4 151 428 375 109
4 413 49 434 1
4 178 213 303 85
4 463 52 292 61
4 53 466 322 280
4 116 10 377 398
4 331 198 266 289
4 252 5 50 416
4 338 107 70 68
4 405 419 450 86
4 434 76 350 445
4 73 167 192 211
4 249 403 326 260
4 99 114 434 143
4 445 431 80 344
4 23 44 332 66
4 485 84 417 21
4 117 289 139 45
4 194 119 341 24
4 444 381 341 340
4 437 131 6 337
4 404 301 185 322
4 403 194 69 424
4 211 57 106 347
4 421 225 469 146
4 459 464 343 476
4 45 394 414 307
4 205 273 16 45
4 487 274 422 158
4 162 381 276 158
4 171 219 30 341
4 2 385 5 135
4 131 316 26 170
4 446 389 483 337
4 464 452 257 208
4 441 20 379 26
4 363 492 262 236
4 47 204 165 18
4 389 175 369 383
4 358 137 21 269
4 498 289 446 118
4 473 103 251 228
4 22 440 59 29
4 221 449 111 126
4 331 379 139 206
4 387 60 181 362
4 24 189 487 188
4 420 62 364 23
4 344 73 345 411
4 172 149 35 449
4 344 402 331 377
3 97 438 132
4 101 304 100 116
4 422 248 173 468
4 43 304 320 199
4 19 266 180 442
4 432 126 416 187
4 11 373 186 251
4 41 137 179 305
4 63 257 94 361
4 272 110 457 158
4 451 422 365 314
4 175 500 385 9
4 332 217 447 119
4 236 380 112 226
4 17 72 248 367
4 363 247 162 261
4 28 3 169 222
4 204 9 403 68
4 154 112 486 376
4 5 238 183 20
4 328 265 18 347
4 290 128 65 210
4 213 299 371 134
4 333 305 190 92
4 251 39 76 149
4 123 234 289 460
4 409 148 294 187
4 460 87 157 142
4 280 295 131 445
4 279 318 126 42
4 332 406 479 195
4 252 328 225 334
4 364 426 329 16
4 141 258 442 263
4 350 130 120 365
4 361 380 439 160
4 335 21 66 233
4 376 81 400 480
4 422 237 327 74
4 184 484 339 110
4 138 172 466 97
4 389 410 195 15
4 419 31 240 347
4 436 461 406 55
4 99 157 268 379
4 6 468 5 20
4 153 275 73 183
4 10 61 368 105
4 412 360 169 473
4 338 182 119 356
4 100 294 243 423
4 457 137 2 294
4 136 166 270 484
4 198 75 493 405
4 260 321 80 389
4 278 277 314 71
4 81 408 199 150
4 395 32 167 331
4 366 331 87 357
4 263 23 167 48
4 500 113 69 11
3 353 25 408
4 302 313 249 282
4 471 313 110 99
4 165 328 237 335
4 422 427 37 3
4 125 313 58 352
4 164 288 317 307
4 182 58 446 433
4 451 197 276 221
4 434 247 393 133
4 255 39 304 465
4 335 171 445 159
4 451 168 296 7
4 61 176 105 320
4 112 74 48 466
4 222 487 452 26
